symbol,company_name,sector,industry,exchange,price,market_cap,market_cap_display,pe_ratio,roe,roe_pct,dividend_yield,dividend_yield_pct,debt_equity,beta,roic,fcf_yield,revenue_growth_1yr,eps,ma_200,score_valuation,score_quality,score_growth,score_dividend,score_moat,total_score,score_category,rank,rank_change,is_profitable,is_dividend_paying,above_200ma,is_penny_stock,last_updated
AAPL,Apple Inc.,Technology,Consumer Electronics,NASDAQ,178.50,2800000000000,$2.8T,28.5,0.147,14.7%,0.0051,0.51%,1.52,1.28,0.285,0.035,0.081,6.13,175.20,18,22,14,8,7,69,Fair,45,2,TRUE,TRUE,TRUE,FALSE,2025-01-12
MSFT,Microsoft Corporation,Technology,Software,NASDAQ,378.90,2810000000000,$2.8T,35.2,0.389,38.9%,0.0074,0.74%,0.35,0.89,0.312,0.028,0.115,11.02,365.50,15,25,16,10,9,75,Good,12,-1,TRUE,TRUE,TRUE,FALSE,2025-01-12
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers,NYSE,156.80,378000000000,$378B,15.2,0.178,17.8%,0.0298,2.98%,0.44,0.55,0.165,0.052,0.042,10.12,152.40,24,21,12,14,8,79,Good,8,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
BRK.B,Berkshire Hathaway,Financials,Insurance,NYSE,362.50,795000000000,$795B,8.5,0.089,8.9%,0,0%,0.22,0.87,0.112,0.068,0.095,42.65,348.20,28,18,15,0,10,71,Good,22,3,TRUE,FALSE,TRUE,FALSE,2025-01-12
PG,Procter & Gamble,Consumer Defensive,Household Products,NYSE,158.20,372000000000,$372B,25.8,0.312,31.2%,0.0241,2.41%,0.68,0.42,0.198,0.042,0.035,6.08,155.80,19,23,10,13,8,73,Good,18,-2,TRUE,TRUE,TRUE,FALSE,2025-01-12
XOM,Exxon Mobil,Energy,Oil & Gas,NYSE,104.50,418000000000,$418B,12.8,0.165,16.5%,0.0335,3.35%,0.21,0.95,0.142,0.085,0.125,8.12,98.60,26,20,17,15,7,85,Excellent,3,1,TRUE,TRUE,TRUE,FALSE,2025-01-12
UNH,UnitedHealth Group,Healthcare,Healthcare Plans,NYSE,528.40,486000000000,$486B,22.5,0.245,24.5%,0.0132,1.32%,0.72,0.68,0.185,0.038,0.128,23.48,512.30,20,22,18,11,8,79,Good,9,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
V,Visa Inc.,Financials,Credit Services,NYSE,275.80,568000000000,$568B,30.2,0.425,42.5%,0.0078,0.78%,0.52,0.95,0.328,0.032,0.092,9.12,268.40,16,25,14,9,9,73,Good,17,1,TRUE,TRUE,TRUE,FALSE,2025-01-12
HD,Home Depot,Consumer Cyclical,Home Improvement,NYSE,365.20,365000000000,$365B,22.8,0.985,98.5%,0.0248,2.48%,42.5,1.05,0.412,0.045,0.042,16.02,358.90,19,18,12,13,7,69,Fair,42,-3,TRUE,TRUE,TRUE,FALSE,2025-01-12
CVX,Chevron Corporation,Energy,Oil & Gas,NYSE,152.80,280000000000,$280B,11.5,0.128,12.8%,0.0412,4.12%,0.15,1.12,0.098,0.092,0.085,13.28,145.60,27,19,16,15,6,83,Good,5,2,TRUE,TRUE,TRUE,FALSE,2025-01-12
KO,Coca-Cola,Consumer Defensive,Beverages,NYSE,62.40,269000000000,$269B,24.5,0.412,41.2%,0.0298,2.98%,1.52,0.58,0.285,0.038,0.025,2.55,60.80,18,22,8,14,9,71,Good,25,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
PEP,PepsiCo,Consumer Defensive,Beverages,NYSE,172.80,237000000000,$237B,26.2,0.512,51.2%,0.0275,2.75%,2.15,0.55,0.198,0.035,0.042,6.62,168.50,17,21,10,14,8,70,Good,28,1,TRUE,TRUE,TRUE,FALSE,2025-01-12
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers,NYSE,168.50,298000000000,$298B,52.8,0.685,68.5%,0.0378,3.78%,5.85,0.82,0.142,0.028,0.045,3.19,162.40,12,16,10,15,7,60,Fair,65,-5,TRUE,TRUE,TRUE,FALSE,2025-01-12
MRK,Merck & Co.,Healthcare,Drug Manufacturers,NYSE,108.20,274000000000,$274B,28.5,0.285,28.5%,0.0278,2.78%,0.92,0.45,0.165,0.042,0.068,3.80,105.60,18,21,14,14,8,75,Good,14,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
COST,Costco Wholesale,Consumer Defensive,Discount Stores,NASDAQ,568.90,252000000000,$252B,42.5,0.285,28.5%,0.0068,0.68%,0.35,0.82,0.225,0.022,0.085,13.38,552.40,10,23,15,8,9,65,Fair,52,2,TRUE,TRUE,TRUE,FALSE,2025-01-12
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,NYSE,162.50,438000000000,$438B,28.8,0.185,18.5%,0.0135,1.35%,0.62,0.52,0.142,0.032,0.055,5.65,158.20,17,20,12,11,8,68,Fair,48,0,TRUE,TRUE,TRUE,FALSE,2025-01-12
BAC,Bank of America,Financials,Banks,NYSE,35.80,285000000000,$285B,11.2,0.098,9.8%,0.0268,2.68%,1.08,1.35,0.082,0.085,0.042,3.20,34.60,25,17,12,13,6,73,Good,19,1,TRUE,TRUE,TRUE,FALSE,2025-01-12
JPM,JPMorgan Chase,Financials,Banks,NYSE,198.50,572000000000,$572B,12.5,0.142,14.2%,0.0225,2.25%,1.15,1.12,0.125,0.068,0.085,15.88,192.40,24,19,15,12,8,78,Good,10,-1,TRUE,TRUE,TRUE,FALSE,2025-01-12
AVGO,Broadcom Inc.,Technology,Semiconductors,NASDAQ,168.50,698000000000,$698B,62.5,0.285,28.5%,0.0185,1.85%,1.65,1.25,0.198,0.018,0.425,2.70,158.90,8,20,20,12,8,68,Fair,46,3,TRUE,TRUE,TRUE,FALSE,2025-01-12
